CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031500202734001QW0F;04/06/2022;20;0,283;;;R
ES0031500202734001QW0F;04/06/2022;21;0,165;;;R
ES0031500202734001QW0F;04/06/2022;22;0,257;;;R
ES0031500202734001QW0F;04/06/2022;23;0,273;;;R
ES0031500202734001QW0F;04/06/2022;24;0,275;;;R
ES0031500202734001QW0F;05/06/2022;1;0,225;;;R
ES0031500202734001QW0F;05/06/2022;2;0,214;;;R
ES0031500202734001QW0F;05/06/2022;3;0,194;;;R
ES0031500202734001QW0F;05/06/2022;4;0,146;;;R
ES0031500202734001QW0F;05/06/2022;5;0,149;;;R
ES0031500202734001QW0F;05/06/2022;6;0,16;;;R
ES0031500202734001QW0F;05/06/2022;7;0,153;;;R
ES0031500202734001QW0F;05/06/2022;8;0,142;;;R
ES0031500202734001QW0F;05/06/2022;9;0,167;;;R
ES0031500202734001QW0F;05/06/2022;10;0,361;;;R
ES0031500202734001QW0F;05/06/2022;11;0,335;;;R
ES0031500202734001QW0F;05/06/2022;12;0,36;;;R
ES0031500202734001QW0F;05/06/2022;13;0,167;;;R
ES0031500202734001QW0F;05/06/2022;14;0,221;;;R
ES0031500202734001QW0F;05/06/2022;15;0,23;;;R
ES0031500202734001QW0F;05/06/2022;16;0,185;;;R
ES0031500202734001QW0F;05/06/2022;17;0,285;;;R
ES0031500202734001QW0F;05/06/2022;18;0,277;;;R
ES0031500202734001QW0F;05/06/2022;19;0,327;;;R
ES0031500202734001QW0F;05/06/2022;20;0,328;;;R
ES0031500202734001QW0F;05/06/2022;21;0,928;;;R
ES0031500202734001QW0F;05/06/2022;22;0,368;;;R
ES0031500202734001QW0F;05/06/2022;23;1,103;;;R
ES0031500202734001QW0F;05/06/2022;24;0,62;;;R
ES0031500202734001QW0F;06/06/2022;1;0,238;;;R
ES0031500202734001QW0F;06/06/2022;2;0,141;;;R
